                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.81619,                 1.4491,                0.66743,                 1.0041,                0.70089,                0.68645,                0.71122,                 0.5054,                0.70203,                 0.6902,                0.71021,                0.43262,                  0.864,                 1.5984,                0.78144,                 1.0601,              0.0012734,              0.0012734,              0.0012734
                     24,                0.82041,                 1.4395,                0.67282,                  1.005,                0.75285,                0.68667,                0.71899,                0.51065,                0.76092,                0.69511,                0.73186,                0.43854,                0.88382,                 1.6448,                0.80026,                 1.0764,              0.0012663,              0.0012663,              0.0012663
                     25,                0.82088,                 1.4506,                0.65801,                 1.0024,                0.71106,                 0.6829,                0.67619,                0.48784,                0.71347,                0.68701,                0.68085,                0.42515,                0.87165,                 1.6331,                0.76256,                 1.0576,              0.0012592,              0.0012592,              0.0012592
                     26,                0.80895,                 1.4312,                0.65037,                0.99323,                0.72381,                0.67541,                0.72786,                0.52214,                0.71539,                0.70475,                0.73365,                0.45298,                0.83896,                 1.6132,                0.76566,                 1.0417,              0.0012522,              0.0012522,              0.0012522
                     27,                  0.815,                 1.4166,                0.65985,                0.98346,                0.72322,                0.70108,                0.71401,                0.51418,                0.73064,                0.71243,                0.71949,                0.45457,                0.85851,                 1.5562,                 0.7374,                 1.0424,              0.0012451,              0.0012451,              0.0012451
                     28,                0.80088,                 1.4076,                0.65185,                0.99736,                0.75759,                0.68783,                0.70606,                0.50557,                0.77177,                0.69003,                0.71686,                0.44074,                0.83987,                 1.5654,                0.73613,                 1.0472,               0.001238,               0.001238,               0.001238
                     29,                0.81462,                 1.4377,                0.65002,                0.99578,                0.72564,                0.63973,                0.70868,                0.51704,                 0.7259,                0.64037,                0.70609,                0.44398,                0.86572,                 1.5766,                0.80673,                 1.0614,              0.0012309,              0.0012309,              0.0012309
                     30,                0.80152,                 1.4461,                0.67193,                0.99258,                0.71694,                0.70745,                0.71669,                0.51645,                0.72036,                0.71135,                0.71712,                0.43479,                 0.8336,                 1.5903,                0.75208,                 1.0388,              0.0012239,              0.0012239,              0.0012239
                     31,                0.78669,                 1.4096,                0.62853,                0.98787,                0.69996,                0.73609,                0.72135,                0.51718,                0.71238,                0.73532,                0.72324,                0.45783,                0.84351,                 1.5846,                0.73155,                 1.0334,              0.0012168,              0.0012168,              0.0012168
                     32,                0.78035,                 1.3785,                0.62453,                0.98517,                0.70567,                0.70804,                0.70134,                0.51259,                0.70942,                0.71009,                0.70254,                 0.4355,                0.84681,                 1.5473,                0.76382,                 1.0441,              0.0012097,              0.0012097,              0.0012097
                     33,                0.78155,                 1.3865,                0.61638,                0.99087,                0.72487,                0.73504,                0.75434,                0.54164,                0.73082,                0.73974,                0.75452,                0.46885,                0.85051,                 1.5461,                0.75526,                 1.0537,              0.0012026,              0.0012026,              0.0012026
                     34,                0.77875,                 1.3703,                0.61639,                0.98539,                0.76486,                0.64167,                0.72263,                0.52899,                0.76844,                 0.6477,                0.72628,                0.45826,                0.86173,                 1.5926,                0.76077,                 1.0551,              0.0011956,              0.0011956,              0.0011956
                     35,                0.79229,                  1.386,                0.61171,                0.98497,                0.78242,                0.66739,                0.73014,                0.53296,                0.81983,                0.66704,                0.74076,                0.46191,                0.84586,                 1.5825,                0.73783,                 1.0449,              0.0011885,              0.0011885,              0.0011885
                     36,                0.77123,                 1.3896,                0.61578,                0.97754,                0.78063,                0.66335,                0.73436,                0.53657,                0.79825,                0.67465,                0.73845,                0.46544,                0.83861,                 1.5518,                0.74516,                 1.0439,              0.0011814,              0.0011814,              0.0011814
                     37,                0.75224,                 1.3476,                 0.5852,                0.96922,                0.69964,                0.73439,                0.72953,                 0.5348,                0.70537,                 0.7409,                0.73501,                 0.4629,                0.82513,                 1.5491,                0.71543,                 1.0323,              0.0011744,              0.0011744,              0.0011744
                     38,                 0.7702,                 1.3541,                0.61154,                0.97406,                0.72405,                0.69237,                0.71813,                0.52535,                0.72977,                0.69422,                0.71952,                0.45252,                0.86159,                 1.5862,                0.72532,                 1.0648,              0.0011673,              0.0011673,              0.0011673
                     39,                0.75083,                 1.3652,                0.59615,                0.97625,                0.80094,                0.72261,                0.74904,                0.54035,                 0.8119,                0.73156,                0.76088,                0.48809,                 0.8659,                 1.5683,                0.71685,                 1.0644,              0.0011602,              0.0011602,              0.0011602
                     40,                0.74768,                 1.3225,                 0.5894,                0.96918,                0.71125,                0.64269,                0.69349,                 0.5128,                0.71314,                0.65922,                0.70453,                 0.4465,                0.83811,                 1.5699,                0.73407,                   1.04,              0.0011531,              0.0011531,              0.0011531
                     41,                0.77832,                 1.3873,                0.58938,                0.97634,                0.68987,                0.72616,                0.67456,                0.49053,                0.69739,                0.73142,                 0.6817,                0.42537,                0.86973,                 1.5603,                0.77419,                  1.073,              0.0011461,              0.0011461,              0.0011461
                     42,                0.77149,                 1.3774,                0.59487,                0.97954,                 0.7679,                0.68337,                0.73107,                0.53879,                0.78901,                0.69692,                0.74918,                 0.4731,                0.82103,                 1.5725,                0.72925,                 1.0468,               0.001139,               0.001139,               0.001139
                     43,                0.74918,                 1.3715,                0.57731,                0.96731,                0.76758,                0.64728,                0.70937,                0.52415,                0.77923,                0.65606,                0.71751,                0.46161,                0.83391,                 1.6009,                0.74877,                 1.0499,              0.0011319,              0.0011319,              0.0011319
                     44,                0.75971,                 1.3468,                0.57974,                0.97234,                0.70308,                0.69871,                0.72076,                0.52839,                0.71733,                0.71698,                0.74222,                0.46832,                0.83756,                 1.5483,                0.76106,                 1.0456,              0.0011248,              0.0011248,              0.0011248
                     45,                0.74684,                 1.3603,                0.57531,                0.97445,                0.75797,                0.70687,                0.74973,                0.54434,                0.77202,                0.72067,                0.75849,                0.47786,                 0.8414,                 1.5606,                0.73428,                 1.0579,              0.0011178,              0.0011178,              0.0011178
                     46,                0.74842,                 1.3301,                 0.5781,                0.96029,                0.71472,                0.67682,                0.70074,                0.50748,                0.73809,                0.66166,                0.71462,                0.44657,                0.87574,                 1.5496,                0.76247,                 1.0775,              0.0011107,              0.0011107,              0.0011107
                     47,                0.73568,                 1.3273,                0.56149,                0.95849,                0.78276,                0.62473,                0.70424,                0.51586,                0.80552,                0.65299,                 0.7153,                0.44976,                0.85361,                 1.6403,                0.76695,                 1.0588,              0.0011036,              0.0011036,              0.0011036
                     48,                0.74376,                 1.3378,                0.57801,                0.97271,                0.74795,                0.68169,                0.69982,                0.50986,                0.75105,                0.69425,                0.71577,                0.44507,                0.84013,                   1.57,                0.80053,                 1.0645,              0.0010965,              0.0010965,              0.0010965
                     49,                0.74187,                 1.3238,                0.57113,                0.96892,                0.72255,                0.73749,                0.75662,                0.54673,                0.75472,                0.72299,                0.76269,                0.47943,                0.83502,                 1.5478,                0.73167,                 1.0479,              0.0010895,              0.0010895,              0.0010895
                     50,                0.73389,                 1.3178,                0.55104,                0.95945,                0.77337,                0.71889,                0.75721,                0.54722,                0.78303,                0.72698,                0.76627,                0.49309,                0.84308,                 1.5411,                0.71413,                 1.0671,              0.0010824,              0.0010824,              0.0010824
                     51,                0.73182,                 1.3407,                0.56208,                0.95756,                0.72955,                0.69509,                0.71228,                0.53148,                0.74087,                0.70549,                0.72912,                 0.4671,                 0.8354,                 1.5374,                0.71895,                  1.056,              0.0010753,              0.0010753,              0.0010753
                     52,                 0.7365,                 1.3162,                0.58742,                0.96056,                0.75816,                0.67744,                0.70232,                0.50192,                0.77072,                0.68761,                  0.712,                 0.4297,                0.85403,                 1.5569,                0.74696,                 1.0522,              0.0010682,              0.0010682,              0.0010682
                     53,                0.71844,                 1.3137,                0.56953,                0.95655,                0.78603,                0.70335,                0.73547,                0.52132,                0.80292,                0.71412,                0.74393,                0.46663,                0.85877,                 1.5342,                0.71436,                 1.0825,              0.0010612,              0.0010612,              0.0010612
                     54,                0.72142,                 1.2889,                0.54006,                0.95565,                0.74392,                0.69465,                0.73753,                0.54237,                0.77982,                0.70281,                0.75034,                0.47496,                0.82799,                 1.5115,                0.72308,                 1.0487,              0.0010541,              0.0010541,              0.0010541
                     55,                 0.7106,                  1.295,                0.54582,                 0.9585,                0.72074,                0.65692,                0.70363,                0.51598,                0.72693,                0.65872,                0.70706,                 0.4408,                0.85627,                 1.5508,                0.75562,                 1.0651,               0.001047,               0.001047,               0.001047
                     56,                0.70503,                 1.2832,                0.53862,                0.95107,                0.66971,                0.71519,                0.70595,                0.51615,                0.69094,                0.71697,                0.72367,                0.46134,                 0.8486,                 1.5632,                0.75215,                 1.0533,                0.00104,                0.00104,                0.00104
                     57,                0.72315,                 1.3049,                0.54792,                0.95673,                0.73965,                0.75187,                0.72252,                0.52472,                0.75337,                0.76121,                0.73587,                0.46577,                0.85092,                 1.5278,                0.72729,                 1.0589,              0.0010329,              0.0010329,              0.0010329
                     58,                0.71289,                  1.302,                0.53537,                0.95457,                0.75276,                0.64976,                0.71812,                0.52432,                0.76019,                0.65557,                0.71971,                0.45634,                0.83467,                 1.5493,                0.69552,                 1.0633,              0.0010258,              0.0010258,              0.0010258
                     59,                0.70954,                 1.2877,                0.53952,                0.96156,                0.71238,                0.71805,                0.72624,                0.54529,                0.78244,                0.66254,                0.72728,                0.46671,                0.85948,                  1.537,                0.70642,                 1.0835,              0.0010187,              0.0010187,              0.0010187
                     60,                0.72128,                 1.2891,                0.53535,                0.95718,                0.71367,                0.70372,                0.68658,                0.50719,                0.71836,                 0.7163,                0.69357,                0.45521,                0.85688,                 1.5177,                0.71859,                 1.0687,              0.0010117,              0.0010117,              0.0010117
                     61,                0.70895,                 1.2722,                0.53641,                  0.943,                0.78052,                0.68814,                0.73325,                0.53718,                0.77835,                0.68708,                0.72811,                0.46935,                0.84914,                 1.5478,                0.69751,                  1.081,              0.0010046,              0.0010046,              0.0010046
                     62,                0.69652,                  1.285,                0.51457,                 0.9465,                0.71263,                0.73738,                 0.7445,                0.54984,                0.75744,                0.71362,                 0.7476,                0.48135,                 0.8358,                 1.5653,                0.71572,                 1.0436,             0.00099751,             0.00099751,             0.00099751
                     63,                0.69041,                 1.2381,                 0.5128,                0.94311,                0.72532,                0.77331,                0.73639,                 0.5431,                0.73566,                0.75312,                0.74483,                0.47931,                0.82552,                 1.5087,                0.71004,                 1.0484,             0.00099044,             0.00099044,             0.00099044
                     64,                0.71167,                 1.2649,                0.51333,                0.94681,                0.72672,                0.74105,                0.74586,                0.55339,                0.75762,                0.73073,                0.76197,                0.48853,                0.81596,                 1.4953,                0.70978,                 1.0431,             0.00098337,             0.00098337,             0.00098337
                     65,                0.69609,                 1.2506,                0.51411,                0.94052,                0.68915,                0.70708,                0.70382,                0.51481,                0.69776,                 0.7212,                0.71489,                 0.4534,                0.81689,                 1.5281,                 0.7209,                 1.0315,             0.00097629,             0.00097629,             0.00097629
                     66,                0.69871,                 1.2448,                0.50975,                0.94567,                 0.7935,                0.70177,                0.74533,                0.55826,                0.80389,                0.71087,                0.75724,                0.49096,                0.82398,                  1.576,                  0.731,                 1.0528,             0.00096922,             0.00096922,             0.00096922
                     67,                0.70489,                 1.2818,                0.51535,                0.95297,                0.75784,                0.72249,                0.73048,                0.54396,                0.77276,                0.73679,                0.73846,                0.47389,                0.81907,                 1.5521,                0.72074,                 1.0453,             0.00096215,             0.00096215,             0.00096215
                     68,                  0.692,                 1.2409,                0.51841,                0.94274,                0.75654,                0.69678,                0.74543,                0.55757,                0.77283,                0.70972,                 0.7641,                0.49299,                0.82709,                 1.5091,                  0.705,                 1.0595,             0.00095507,             0.00095507,             0.00095507
                     69,                0.69732,                 1.2319,                0.49068,                0.93285,                0.74242,                0.71772,                0.72947,                0.53989,                0.74269,                0.72255,                 0.7332,                 0.4804,                0.81187,                 1.5103,                0.70264,                 1.0357,               0.000948,               0.000948,               0.000948
                     70,                0.68866,                 1.2454,                0.49255,                0.94272,                0.79281,                0.69462,                0.74169,                0.55234,                 0.7955,                0.70309,                0.75117,                  0.489,                0.82736,                 1.5208,                0.72577,                  1.044,             0.00094093,             0.00094093,             0.00094093
                     71,                0.68226,                 1.2455,                0.50163,                 0.9356,                0.75939,                 0.7224,                0.76462,                0.55669,                0.76905,                0.73013,                0.77493,                0.49164,                0.82983,                 1.4851,                0.66273,                 1.0648,             0.00093385,             0.00093385,             0.00093385
                     72,                0.68118,                 1.2455,                0.49934,                 0.9388,                0.75845,                0.65572,                0.72396,                0.53732,                0.77288,                0.67356,                0.73794,                0.47814,                 0.8689,                 1.5561,                0.69996,                 1.0932,             0.00092678,             0.00092678,             0.00092678
                     73,                0.67868,                  1.232,                0.50103,                0.93755,                0.74721,                0.72633,                0.74442,                0.54627,                0.75621,                0.73352,                0.74965,                0.48779,                0.81695,                 1.5575,                0.66333,                 1.0359,              0.0009197,              0.0009197,              0.0009197
                     74,                0.67601,                 1.2266,                0.49692,                0.93816,                0.73166,                0.72298,                0.74362,                0.55437,                0.74573,                 0.7353,                0.76425,                0.49924,                0.83694,                  1.556,                0.72323,                 1.0849,             0.00091263,             0.00091263,             0.00091263
                     75,                0.68024,                 1.2569,                 0.4969,                0.93721,                0.69208,                0.74233,                0.72403,                0.53178,                0.70264,                0.75281,                0.74269,                 0.4765,                0.83785,                 1.5486,                0.70558,                  1.077,             0.00090556,             0.00090556,             0.00090556
                     76,                0.67912,                 1.2293,                0.48782,                0.92952,                  0.716,                0.74954,                0.74148,                0.54426,                0.71924,                0.75535,                0.73929,                0.48272,                0.81568,                 1.5221,                0.68124,                 1.0484,             0.00089848,             0.00089848,             0.00089848
                     77,                0.67523,                 1.2415,                0.48171,                0.93046,                0.74774,                0.71111,                0.75947,                0.55526,                0.75704,                0.71681,                0.76056,                0.49396,                 0.8246,                 1.5527,                0.69984,                 1.0703,             0.00089141,             0.00089141,             0.00089141
                     78,                0.65872,                 1.1881,                0.47896,                0.92944,                0.70561,                 0.7455,                0.73495,                0.54134,                0.71526,                0.75387,                0.74742,                 0.4806,                0.81728,                  1.526,                 0.6889,                  1.051,             0.00088434,             0.00088434,             0.00088434
                     79,                0.66655,                 1.2006,                0.47941,                0.93749,                0.74266,                0.74017,                0.73723,                0.53568,                0.77048,                0.74397,                0.75057,                0.47594,                0.81976,                 1.5342,                0.69426,                 1.0563,             0.00087726,             0.00087726,             0.00087726
                     80,                0.66606,                 1.2193,                0.48212,                 0.9345,                0.75065,                0.75612,                0.73453,                0.53695,                0.75608,                0.76049,                0.74672,                0.48884,                0.81771,                 1.5386,                0.70766,                 1.0474,             0.00087019,             0.00087019,             0.00087019
                     81,                0.66995,                 1.2347,                0.48239,                0.92695,                0.75679,                0.71023,                0.73077,                0.53187,                0.76862,                0.71738,                0.73994,                0.46756,                0.84147,                 1.6069,                0.72621,                 1.0716,             0.00086312,             0.00086312,             0.00086312
                     82,                0.66529,                 1.2149,                0.47975,                0.93045,                0.73188,                0.72931,                0.72841,                 0.5361,                 0.7705,                0.71752,                0.74119,                0.47567,                0.82026,                 1.5512,                0.70656,                 1.0498,             0.00085604,             0.00085604,             0.00085604
                     83,                0.66406,                 1.1931,                0.47597,                0.92506,                0.80037,                0.67882,                0.73596,                0.53903,                0.82185,                0.69649,                0.75261,                0.47999,                0.82753,                 1.5566,                0.73682,                 1.0526,             0.00084897,             0.00084897,             0.00084897
                     84,                0.66775,                 1.2218,                0.47883,                0.92347,                0.73625,                0.73006,                0.72283,                0.53327,                0.73956,                0.75376,                0.73656,                0.47133,                0.82326,                 1.5662,                0.68686,                 1.0562,              0.0008419,              0.0008419,              0.0008419
                     85,                0.65448,                 1.1926,                0.47099,                 0.9313,                0.77983,                 0.6797,                0.73636,                0.54858,                0.79962,                0.69233,                0.75553,                0.49215,                0.82735,                 1.5836,                0.69374,                 1.0819,             0.00083482,             0.00083482,             0.00083482
                     86,                0.66684,                 1.2141,                 0.4824,                 0.9308,                0.74221,                0.74111,                0.75123,                0.54331,                0.75749,                0.75406,                0.76115,                0.49451,                0.83267,                 1.5464,                0.73231,                 1.0753,             0.00082775,             0.00082775,             0.00082775
                     87,                0.65885,                 1.1713,                0.45745,                0.92116,                0.72247,                0.72881,                0.70728,                 0.5275,                0.72714,                0.73351,                0.71854,                  0.475,                 0.8526,                 1.5827,                0.71723,                 1.1038,             0.00082067,             0.00082067,             0.00082067
                     88,                0.64614,                 1.1811,                0.46044,                0.92305,                0.74434,                0.72004,                 0.7377,                 0.5453,                 0.7556,                0.73002,                0.75035,                0.48644,                0.79715,                 1.5255,                0.66762,                 1.0384,              0.0008136,              0.0008136,              0.0008136
                     89,                0.65325,                 1.1902,                 0.4691,                0.92116,                0.71046,                0.74013,                0.72924,                0.53505,                0.72612,                0.74633,                0.74051,                0.47348,                0.82989,                 1.5739,                0.70488,                 1.0525,             0.00080653,             0.00080653,             0.00080653
                     90,                0.66629,                 1.2054,                0.47249,                0.92575,                0.76479,                0.67725,                0.73418,                0.53845,                0.77835,                0.68953,                0.74124,                0.47314,                0.80784,                  1.544,                0.68496,                 1.0366,             0.00079945,             0.00079945,             0.00079945
                     91,                0.65337,                 1.2014,                0.45009,                0.91827,                0.75053,                0.73304,                0.74144,                0.54381,                 0.7791,                0.72975,                0.75138,                0.49553,                0.82762,                 1.5358,                0.68471,                 1.0553,             0.00079238,             0.00079238,             0.00079238
