                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.034631,                0.02942,               0.078173,              0.0034569,                0.67165,                0.65789,                0.70471,                0.40462,                0.67906,                0.67741,                0.71618,                0.42324,               0.034402,                0.03363,               0.066464,              0.0048099,              0.0088615,              0.0088615,              0.0088615
                     25,               0.032462,               0.029538,               0.079283,              0.0035194,                0.69435,                0.72092,                 0.7223,                0.40504,                0.70631,                0.70566,                0.73851,                0.45218,               0.032742,               0.032886,               0.065012,              0.0041105,               0.008812,               0.008812,               0.008812
                     26,               0.033145,               0.028744,                 0.0795,              0.0033734,                0.75503,                0.60844,                0.69183,                0.45232,                0.77842,                0.63024,                0.70532,                0.42502,                0.03262,               0.034344,               0.064783,              0.0045306,              0.0087625,              0.0087625,              0.0087625
                     27,               0.032316,               0.028954,               0.081859,              0.0031893,                0.73958,                0.69284,                0.72953,                0.46366,                0.76298,                0.70313,                0.74332,                0.45362,               0.033696,               0.034774,               0.064932,              0.0043062,               0.008713,               0.008713,               0.008713
                     28,               0.031318,               0.029164,               0.078297,              0.0033781,                0.77714,                0.66857,                0.74801,                0.47084,                0.75936,                0.70706,                0.76211,                0.45408,               0.031388,               0.034584,               0.065209,              0.0042447,              0.0086635,              0.0086635,              0.0086635
                     29,               0.030972,                0.02885,               0.077626,              0.0028431,                0.73711,                0.69258,                0.73414,                0.46837,                0.76135,                0.68328,                0.73561,                0.43661,               0.034751,               0.034517,                0.06713,              0.0045206,               0.008614,               0.008614,               0.008614
                     30,               0.031989,               0.028467,               0.077303,              0.0029315,                0.73094,                0.71537,                0.73142,                0.47285,                0.74441,                0.72392,                0.74269,                0.45022,               0.031541,               0.034323,               0.065089,               0.004157,              0.0085645,              0.0085645,              0.0085645
                     31,               0.032101,               0.028878,               0.076426,              0.0027968,                0.78791,                0.67453,                0.71848,                0.45786,                0.78501,                0.67301,                0.72767,                0.42578,                0.02972,               0.034476,               0.065599,              0.0043377,               0.008515,               0.008515,               0.008515
                     32,               0.031731,               0.028209,               0.075153,              0.0029001,                0.75172,                0.73055,                0.72688,                0.45769,                0.75604,                0.73295,                0.73996,                0.45087,               0.033186,               0.033304,               0.065523,               0.003991,              0.0084655,              0.0084655,              0.0084655
                     33,               0.030539,               0.027928,               0.074896,              0.0028054,                0.77765,                0.66199,                0.70645,                0.45771,                0.78422,                0.66761,                0.71282,                0.44425,                0.03096,                0.03332,               0.065387,              0.0042906,               0.008416,               0.008416,               0.008416
