                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.033497,               0.028349,                0.07497,              0.0032213,                0.75726,                0.65101,                0.70509,                0.45984,                0.75544,                0.66759,                 0.7166,                0.42362,               0.035208,               0.032949,               0.064717,              0.0048196,              0.0088615,              0.0088615,              0.0088615
                     25,               0.030538,               0.028295,               0.076446,              0.0032345,                0.66532,                0.69634,                0.68987,                0.43404,                0.67456,                0.70751,                0.70264,                0.42681,               0.033678,               0.032995,               0.066297,              0.0049739,               0.008812,               0.008812,               0.008812
                     26,               0.032413,               0.027584,               0.075643,              0.0031144,                0.77391,                0.68701,                0.74083,                0.49438,                0.75468,                 0.7059,                0.75305,                0.46102,               0.032236,               0.033181,               0.065426,              0.0042085,              0.0087625,              0.0087625,              0.0087625
                     27,               0.031191,               0.028075,               0.077839,              0.0030203,                0.80856,                0.70375,                0.74642,                0.48738,                0.81594,                0.70577,                0.75314,                0.46622,               0.034233,               0.033306,               0.064881,              0.0043745,               0.008713,               0.008713,               0.008713
                     28,               0.030718,               0.028402,               0.075036,              0.0033318,                0.77327,                0.67209,                0.73769,                0.48847,                0.77539,                0.68594,                0.74685,                0.44443,               0.029887,               0.034228,               0.066115,              0.0043583,              0.0086635,              0.0086635,              0.0086635
                     29,               0.030387,                0.02787,               0.074929,              0.0028004,                0.77073,                0.66782,                0.71601,                0.45043,                 0.7762,                0.67044,                0.71989,                0.43968,               0.032883,               0.033509,               0.067787,              0.0046326,               0.008614,               0.008614,               0.008614
                     30,               0.030047,                0.02755,               0.074293,              0.0027379,                0.73964,                0.69702,                0.73377,                0.48245,                0.72545,                0.70135,                0.73428,                0.44247,                0.02998,               0.033006,               0.064355,              0.0041195,              0.0085645,              0.0085645,              0.0085645
                     31,                0.02926,               0.027881,               0.073185,              0.0026812,                0.76522,                0.70649,                0.73283,                0.49281,                0.77315,                0.70644,                0.74365,                0.44362,               0.030168,               0.033364,               0.064495,              0.0044794,               0.008515,               0.008515,               0.008515
                     32,               0.029219,               0.027374,               0.071957,              0.0026582,                0.78417,                0.70502,                0.73465,                0.48953,                0.79536,                0.71711,                0.75353,                0.45756,               0.030215,               0.033227,               0.064739,              0.0043409,              0.0084655,              0.0084655,              0.0084655
                     33,                0.02958,               0.027502,               0.072272,              0.0025513,                0.80648,                  0.675,                0.73865,                0.49688,                0.79627,                 0.6871,                0.74746,                0.45902,               0.029906,               0.033525,               0.066774,              0.0040922,               0.008416,               0.008416,               0.008416
