                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.032453,               0.027797,               0.073662,              0.0028801,                0.74053,                0.62873,                0.68588,                0.45612,                0.76601,                 0.6594,                0.70783,                0.41421,               0.033825,                0.03419,               0.065702,              0.0047207,              0.0088615,              0.0088615,              0.0088615
                     25,               0.030923,               0.027872,               0.074491,              0.0028811,                0.79438,                0.68847,                0.73705,                0.45263,                 0.8007,                0.69044,                0.74561,                0.46106,               0.037146,                0.03255,               0.066766,               0.003844,               0.008812,               0.008812,               0.008812
                     26,               0.032166,                0.02729,               0.075093,              0.0027641,                0.79912,                0.62979,                0.70962,                0.46781,                 0.8171,                0.64512,                 0.7322,                0.44852,               0.032022,               0.032683,               0.064101,              0.0042313,              0.0087625,              0.0087625,              0.0087625
                     27,               0.031836,                0.02734,               0.076745,              0.0027877,                0.76775,                0.68782,                0.73459,                0.49413,                0.79264,                0.69909,                0.76279,                0.47442,               0.031698,               0.033111,               0.063706,              0.0037383,               0.008713,               0.008713,               0.008713
                     28,               0.030754,               0.027724,               0.073184,              0.0027883,                0.79522,                0.68371,                 0.7386,                0.48004,                0.80395,                0.68737,                0.74161,                0.43571,               0.031866,               0.033602,               0.065483,              0.0038843,              0.0086635,              0.0086635,              0.0086635
                     29,                0.03034,               0.027465,                 0.0729,              0.0025782,                0.75731,                 0.7156,                 0.7429,                0.49281,                 0.7551,                0.71416,                0.73573,                 0.4612,               0.032195,               0.033134,               0.065401,              0.0041866,               0.008614,               0.008614,               0.008614
                     30,               0.030342,               0.027173,               0.072755,              0.0024565,                0.74356,                0.72257,                0.72298,                0.47195,                0.74423,                0.72417,                0.72265,                0.44686,                0.03088,               0.033514,               0.064138,              0.0039485,              0.0085645,              0.0085645,              0.0085645
                     31,               0.030988,               0.027461,                0.07122,               0.002517,                0.74363,                0.70903,                0.72644,                0.49631,                0.80058,                0.66611,                0.73023,                0.44211,               0.029254,               0.033582,               0.065288,              0.0040544,               0.008515,               0.008515,               0.008515
                     32,                0.03044,               0.026811,               0.070324,              0.0025514,                 0.7438,                 0.7154,                0.72617,                0.48048,                0.75128,                0.72014,                0.73086,                 0.4583,               0.029919,                0.03188,               0.063448,               0.004055,              0.0084655,              0.0084655,              0.0084655
                     33,               0.028722,               0.026645,               0.070323,              0.0024618,                0.72589,                0.75631,                0.73277,                0.49972,                0.73055,                0.76134,                0.74077,                0.46384,                0.02884,               0.031636,                0.06398,              0.0037239,               0.008416,               0.008416,               0.008416
                     34,               0.029603,               0.026506,               0.070606,              0.0023453,                0.69356,                0.75969,                0.73812,                0.49166,                 0.6989,                0.75241,                0.74184,                0.47039,               0.029813,               0.032554,               0.064144,                 0.0037,              0.0083665,              0.0083665,              0.0083665
                     35,               0.028573,                0.02708,               0.071135,              0.0023932,                0.74196,                0.70855,                0.74102,                0.49674,                0.78676,                0.70873,                0.75051,                0.47541,               0.031834,               0.032311,               0.065902,              0.0040728,               0.008317,               0.008317,               0.008317
                     36,               0.029408,               0.026923,               0.070044,               0.002306,                0.75139,                0.73215,                  0.733,                0.47571,                 0.7638,                0.74864,                 0.7482,                0.46421,               0.031518,                0.03327,               0.066459,              0.0041314,              0.0082675,              0.0082675,              0.0082675
                     37,               0.029581,               0.026605,               0.068945,              0.0021974,                0.77135,                0.72282,                0.73274,                0.48786,                0.77246,                0.72592,                0.73758,                0.47101,               0.028926,               0.032404,               0.064538,              0.0038789,               0.008218,               0.008218,               0.008218
                     38,               0.028633,               0.026577,               0.067205,              0.0023321,                0.73537,                0.69465,                0.70972,                0.47681,                0.75764,                0.71614,                0.73013,                0.45105,               0.031666,               0.033091,               0.066247,              0.0038831,              0.0081685,              0.0081685,              0.0081685
                     39,               0.028371,               0.025994,               0.070111,              0.0022549,                0.77643,                0.67116,                0.73471,                0.49663,                 0.7705,                 0.6976,                0.74274,                0.44922,               0.033028,               0.033161,               0.067419,              0.0040802,               0.008119,               0.008119,               0.008119
                     40,               0.027078,               0.025988,               0.068113,              0.0020485,                0.77934,                0.71062,                0.71998,                0.48842,                0.79599,                0.73073,                0.74034,                0.45381,               0.030112,               0.032198,               0.065385,              0.0040319,              0.0080695,              0.0080695,              0.0080695
                     41,               0.027679,               0.026164,               0.069403,              0.0020509,                0.79539,                0.72165,                0.74372,                0.51158,                0.80783,                0.72389,                0.74862,                0.45092,               0.029349,               0.032376,               0.063904,              0.0037273,                0.00802,                0.00802,                0.00802
                     42,               0.027293,               0.025768,               0.067875,              0.0022065,                0.74713,                0.69432,                0.71935,                 0.4825,                0.74651,                0.73231,                0.74242,                0.44657,               0.032186,               0.032634,               0.065105,              0.0038237,              0.0079705,              0.0079705,              0.0079705
                     43,               0.027763,               0.026554,               0.068428,              0.0021376,                0.72203,                0.71157,                0.72446,                0.48664,                0.75296,                0.71725,                0.73582,                0.44173,               0.031977,               0.032377,               0.065049,              0.0038786,               0.007921,               0.007921,               0.007921
                     44,               0.027132,               0.025656,                0.06565,              0.0020763,                 0.7186,                0.73329,                0.71742,                0.48668,                0.74069,                0.75369,                0.74249,                0.45356,               0.030593,               0.033378,               0.068262,              0.0039089,              0.0078715,              0.0078715,              0.0078715
                     45,               0.026472,               0.025631,               0.065359,               0.001953,                0.74615,                0.72944,                0.72052,                 0.4901,                0.76261,                0.73793,                0.73381,                0.45683,               0.030363,               0.032586,               0.067697,              0.0040791,               0.007822,               0.007822,               0.007822
                     46,               0.025782,               0.026436,               0.066624,               0.001858,                 0.7825,                0.63594,                 0.7081,                0.47624,                0.78473,                0.64656,                0.71168,                0.42926,               0.032534,               0.032608,               0.066557,              0.0041795,              0.0077725,              0.0077725,              0.0077725
                     47,               0.026462,               0.025853,                0.06589,              0.0019121,                0.78042,                0.71813,                0.73255,                0.50436,                0.77111,                0.73688,                0.73715,                0.46061,               0.029322,                0.03282,               0.067858,              0.0036661,               0.007723,               0.007723,               0.007723
                     48,               0.026507,               0.025811,               0.065274,              0.0019578,                0.69936,                0.72273,                0.71869,                0.48417,                0.73271,                 0.7122,                0.72382,                0.43981,               0.030584,               0.033255,               0.067081,              0.0039466,              0.0076735,              0.0076735,              0.0076735
                     49,               0.025859,               0.025673,               0.066317,              0.0017568,                0.74196,                0.69039,                0.71894,                0.46537,                0.73992,                0.67987,                0.71404,                0.43339,               0.031651,               0.031597,               0.064352,              0.0041249,               0.007624,               0.007624,               0.007624
                     50,                0.02547,               0.025293,               0.067264,              0.0017813,                0.80306,                0.71271,                0.74612,                0.51564,                0.79902,                0.70933,                0.73631,                0.46442,               0.028488,               0.032626,                0.06342,              0.0038096,              0.0075745,              0.0075745,              0.0075745
                     51,                0.02553,               0.025518,               0.066661,              0.0017404,                0.74208,                0.69062,                0.71111,                0.49205,                0.73978,                0.70336,                 0.7099,                0.43559,               0.029118,               0.033482,               0.066093,              0.0036824,               0.007525,               0.007525,               0.007525
                     52,               0.026068,               0.025176,               0.066674,              0.0019347,                0.74061,                0.64414,                0.69574,                0.47934,                0.75353,                0.66453,                0.71518,                0.43694,               0.028667,               0.032777,               0.064608,              0.0040039,              0.0074755,              0.0074755,              0.0074755
                     53,               0.024852,                0.02582,                0.06461,              0.0018225,                0.75037,                 0.6647,                0.69745,                0.48351,                0.75624,                0.67596,                0.70325,                0.42823,               0.027322,               0.033014,               0.064887,              0.0047063,               0.007426,               0.007426,               0.007426
                     54,               0.024819,                0.02513,               0.063665,              0.0016485,                0.76441,                0.71951,                 0.7394,                0.51374,                0.76525,                0.72048,                0.73987,                0.47641,               0.027931,               0.033226,               0.066119,               0.003324,              0.0073765,              0.0073765,              0.0073765
