                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.82645,                 1.4522,                  0.678,                0.98954,                0.71707,                0.72423,                0.70472,                0.51204,                0.72714,                0.72915,                0.72294,                0.44424,                0.88151,                 1.6161,                  0.792,                 1.0403,              0.0012734,              0.0012734,              0.0012734
                     24,                0.82991,                 1.4267,                0.68303,                0.99429,                0.76647,                0.62947,                0.69185,                 0.5125,                0.78204,                0.64458,                0.70624,                0.44532,                0.85635,                 1.5997,                0.78601,                  1.025,              0.0012663,              0.0012663,              0.0012663
                     25,                0.80235,                 1.4215,                0.65412,                0.98277,                0.74825,                0.70808,                 0.7247,                 0.5206,                 0.7466,                0.70172,                0.71789,                0.44215,                0.87265,                 1.5991,                0.74765,                 1.0349,              0.0012592,              0.0012592,              0.0012592
                     26,                0.81113,                 1.4146,                0.65209,                0.97241,                0.72334,                0.69799,                0.73237,                 0.5278,                0.73778,                0.67972,                0.72104,                0.44737,                0.86569,                 1.5515,                0.76944,                 1.0336,              0.0012522,              0.0012522,              0.0012522
                     27,                 0.8123,                 1.3985,                0.65338,                0.96871,                0.77414,                0.67602,                0.71606,                0.50477,                0.77982,                0.68169,                0.72583,                 0.4442,                0.84443,                 1.5521,                0.77801,                 1.0208,              0.0012451,              0.0012451,              0.0012451
                     28,                0.79654,                 1.3873,                0.65886,                0.97895,                0.76581,                 0.6785,                0.71386,                0.51546,                0.77656,                0.68995,                0.73182,                0.44883,                0.83708,                 1.5924,                0.79963,                 1.0231,               0.001238,               0.001238,               0.001238
                     29,                0.82967,                 1.4334,                0.66562,                0.98389,                0.71009,                0.60848,                0.69662,                0.50865,                0.71475,                0.63302,                0.71188,                0.44506,                0.88601,                 1.5742,                0.80642,                 1.0571,              0.0012309,              0.0012309,              0.0012309
                     30,                0.79399,                 1.3977,                0.65309,                 0.9741,                0.76707,                0.63869,                0.69827,                0.49876,                0.78671,                0.64661,                 0.7024,                0.44075,                0.87858,                 1.6092,                0.78389,                 1.0428,              0.0012239,              0.0012239,              0.0012239
                     31,                0.80389,                 1.4138,                0.63539,                0.97388,                0.70424,                0.69647,                0.69559,                0.49279,                0.72284,                0.69222,                0.71032,                 0.4413,                0.83634,                 1.5706,                0.80017,                 1.0169,              0.0012168,              0.0012168,              0.0012168
                     32,                0.78426,                 1.3795,                0.63877,                0.97333,                 0.7364,                0.66872,                0.69254,                0.50333,                0.75645,                0.68087,                0.70559,                0.43683,                0.86944,                 1.6318,                0.79321,                 1.0464,              0.0012097,              0.0012097,              0.0012097
