                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3309,                  2.478,                 1.2361,                 1.3322,                0.45339,                0.46766,                0.39593,                0.27527,                0.45842,                0.47086,                0.40755,                0.24708,                 1.0067,                 1.9091,                 1.2181,                  1.161,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.2965,                 2.4176,                 1.1727,                 1.3302,                0.37073,                0.42242,                0.32669,                0.21957,                0.38912,                0.45768,                0.34744,                0.19564,                 1.0916,                 1.8556,                 1.2007,                 1.2061,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.2726,                  2.323,                 1.1666,                 1.3038,                0.39833,                0.52642,                0.38337,                 0.2805,                0.41961,                0.55274,                0.43001,                0.24778,                0.99512,                 1.7639,                 1.0602,                 1.1627,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.3106,                 2.4411,                 1.1828,                 1.3128,                0.81726,                0.33226,                0.40241,                  0.262,                 0.8187,                0.33547,                0.40593,                0.23219,                 1.0848,                   1.87,                 1.1613,                 1.2027,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.3025,                 2.4059,                 1.1786,                 1.3134,                 0.4215,                0.40097,                 0.4238,                0.27263,                0.42808,                0.41149,                0.44366,                0.24033,                 1.0374,                 1.7793,                 1.1015,                 1.1828,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.2715,                 2.3936,                  1.118,                 1.3035,                0.38369,                0.48059,                0.43915,                0.28683,                0.38741,                  0.513,                0.46105,                0.25677,                 1.0112,                 1.8165,                 1.1288,                 1.1833,               0.001238,               0.001238,               0.001238
                     30,                 1.2776,                 2.3459,                  1.179,                 1.3307,                0.63146,                0.42475,                0.51143,                0.33839,                0.63327,                0.41958,                0.51962,                0.29886,                0.96537,                 1.7483,                 1.0493,                 1.1302,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.3039,                 2.3784,                 1.1747,                 1.3064,                 0.3642,                0.57508,                0.44447,                0.30539,                0.36727,                0.57935,                0.45465,                0.25539,                0.99009,                 1.7379,                 1.0322,                 1.1407,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.2603,                  2.338,                 1.1355,                 1.2927,                0.44112,                0.63442,                0.57504,                 0.4013,                0.44792,                0.64297,                0.58801,                0.35819,                 0.9591,                 1.7588,                 1.0341,                 1.1184,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.2644,                 2.2901,                 1.0947,                 1.2914,                0.63072,                0.56771,                0.58238,                0.41189,                0.63585,                0.57305,                0.60243,                0.36762,                0.95935,                 1.6961,                0.95833,                 1.1263,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.2078,                 2.2587,                  1.078,                 1.2764,                0.40019,                0.48872,                0.37349,                0.27338,                0.41209,                0.50047,                0.38347,                0.24112,                 0.9385,                 1.7709,                 1.0814,                 1.1249,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.2372,                  2.336,                 1.1067,                 1.2834,                0.40766,                0.48883,                0.46763,                0.30401,                 0.4101,                0.49204,                0.47065,                 0.2597,                0.99428,                 1.9917,                 1.0183,                 1.1684,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.2331,                 2.3675,                 1.1101,                 1.2989,                0.39477,                0.47708,                0.32891,                0.20731,                0.39861,                0.48242,                0.33089,                   0.17,                0.99569,                 1.9516,                 1.4833,                 1.1661,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.1996,                 2.3209,                 1.0702,                 1.2674,                0.61591,                 0.5284,                0.51978,                0.34862,                0.62277,                0.53545,                 0.5327,                0.30543,                0.97006,                 1.8649,                 1.0179,                 1.1553,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.3176,                 2.4209,                 1.1319,                 1.3241,                0.71297,                0.44673,                0.55553,                0.34938,                 0.7065,                0.47226,                0.57557,                0.29824,                 1.0309,                 1.8621,                 1.1155,                 1.1991,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.2293,                 2.3381,                 1.0972,                 1.2786,                0.40983,                0.48028,                0.36611,                0.24911,                0.57493,                0.43629,                0.37264,                0.20356,                0.93627,                 2.0388,                 3.0525,                 1.1158,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.2442,                 2.2879,                 1.0545,                 1.2848,                0.51265,                0.41935,                 0.3674,                0.24937,                0.30852,                0.62236,                0.37773,                0.22349,                0.96607,                 10.615,                 2.5155,                 1.1655,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.1778,                 2.2375,                 1.0316,                 1.2386,                0.53911,                0.51522,                0.52799,                0.36092,                0.44257,                0.63432,                 0.5382,                0.31895,                   0.98,                 1.6953,                 1.0196,                 1.1506,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.1736,                 2.2117,                 1.0241,                 1.2558,                0.51847,                 0.5001,                0.50861,                0.36842,                0.52657,                0.50971,                0.52899,                0.33004,                0.96086,                 1.9236,                0.99293,                 1.1397,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.2056,                 2.2396,                 1.0593,                 1.2532,                0.61683,                0.49544,                 0.5139,                0.36112,                0.61968,                0.49971,                0.52667,                 0.3087,                 1.0169,                 1.7416,                  1.027,                  1.151,               0.001139,               0.001139,               0.001139
                     44,                 1.1314,                 2.2131,                 1.0184,                 1.2297,                0.68894,                0.50343,                0.57784,                0.41269,                0.68443,                0.51518,                0.58711,                0.35268,                0.91599,                 1.6855,                0.98238,                 1.1101,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.1309,                 2.1922,                0.98412,                  1.238,                0.49533,                0.52909,                0.47977,                0.33879,                0.49938,                0.49641,                0.48805,                0.28791,                0.94586,                 1.7489,                 1.0245,                  1.124,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.1917,                 2.2532,                 1.0184,                 1.2562,                0.51774,                0.51735,                0.56052,                0.38062,                0.52515,                0.52309,                 0.5703,                0.32944,                 1.0011,                 1.7542,                 1.0344,                 1.1742,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.1803,                 2.2382,                0.98565,                 1.2554,                0.50424,                0.56456,                0.54738,                0.36121,                0.54081,                0.58174,                  0.555,                0.31996,                0.94773,                 1.7058,                0.99969,                  1.144,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.1453,                 2.1908,                0.98466,                 1.2154,                 0.5478,                0.54406,                0.52801,                0.36347,                0.58722,                0.57096,                0.55007,                0.31264,                0.97527,                 1.8467,                0.97126,                 1.1281,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.1777,                 2.2458,                0.98375,                 1.2409,                0.52725,                0.46948,                0.42109,                 0.2854,                  0.528,                0.47055,                0.42072,                 0.2613,                 0.9839,                 1.8848,                  1.352,                 1.1525,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.1562,                 2.1572,                0.99271,                  1.228,                0.59741,                0.53633,                0.50267,                0.35951,                0.60638,                0.54437,                0.52397,                0.32312,                0.97926,                 1.7574,                 1.0167,                 1.1475,              0.0010895,              0.0010895,              0.0010895
                     51,                  1.119,                 2.1657,                0.95089,                 1.2111,                0.53831,                0.59836,                  0.536,                0.37302,                0.59753,                 0.6116,                0.56969,                0.33414,                0.97827,                 1.6984,                0.97005,                 1.1525,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.1386,                 2.1322,                0.95681,                   1.23,                 0.4781,                0.55909,                0.40262,                0.26731,                0.52437,                0.55315,                0.41457,                0.24161,                 1.0351,                 2.2721,                 2.4724,                 1.2559,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.1199,                 2.1782,                0.95589,                 1.2342,                0.65377,                0.55051,                0.59286,                0.40355,                 0.6898,                  0.571,                0.61911,                0.34891,                0.95257,                 1.7549,                0.92039,                 1.1391,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.1335,                 2.2069,                0.97042,                  1.225,                 0.4678,                0.53662,                0.46487,                0.32377,                0.48726,                0.56886,                0.48913,                0.27125,                0.90831,                 1.7126,                 1.0132,                 1.0958,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.1266,                 2.1678,                0.96423,                   1.23,                0.51991,                0.53623,                0.58776,                0.41954,                0.52438,                 0.5405,                0.59026,                0.35689,                0.91889,                 1.6984,                0.99455,                 1.1231,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.1129,                 2.1538,                0.97053,                 1.2189,                0.66924,                0.44641,                0.44721,                0.30987,                 0.6704,                0.44854,                0.45408,                0.26038,                 0.9024,                 1.8839,                  1.853,                 1.1152,               0.001047,               0.001047,               0.001047
                     57,                 1.1212,                 2.1553,                0.95025,                 1.2374,                0.61532,                0.53436,                0.59364,                0.42426,                0.62491,                0.54398,                0.60338,                0.34708,                0.94511,                 1.7123,                0.98293,                 1.1376,                0.00104,                0.00104,                0.00104
                     58,                 1.0894,                 2.1212,                0.93695,                 1.1928,                 0.5208,                0.52632,                0.42557,                0.27732,                0.52477,                0.53166,                0.43015,                0.23272,                 0.9923,                 1.9321,                 4.2055,                 1.2019,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.1143,                 2.1538,                0.94083,                 1.2142,                0.53855,                0.58323,                0.55161,                0.38702,                0.54126,                0.58644,                0.56014,                 0.3163,                0.91768,                 1.7397,                0.97763,                 1.1202,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.0777,                 2.1175,                0.92749,                 1.1987,                0.58083,                0.59217,                0.59031,                0.40983,                0.58228,                0.59324,                0.59488,                0.35196,                0.92284,                 1.6902,                0.99361,                 1.1237,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.0915,                  2.138,                0.93462,                 1.1924,                0.59278,                0.50755,                0.55265,                0.36861,                0.60066,                0.51369,                0.57872,                0.32687,                0.92937,                 1.7041,                0.99512,                 1.1332,              0.0010117,              0.0010117,              0.0010117
